Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
4T,EL06,-95.173643,29.660086,University of Texas,TexNet,,EL06,11,2022-03-29,
4O,MID03,-102.2109,32.0121,Unavailable,TXHUB,,"Midland, TX",874,2022-02-14,
4O,PL01,-103.3596294,31.9948147,,,,,949,2022-01-02,
4O,CF01,-100.58318,32.80184,,,,,640,2022-03-20,
DB,MID04,-101.8636,32.2189,Unavailable,TXHUB,,"Midland, TX",853,2022-02-14,
4O,HP01,-101.2256703,32.4498025,,,,,736,2022-01-02,
4O,WB03,-103.9688386,31.6107215,,,,,994,2022-05-10,
4O,WB02,-103.9449205,31.7363019,,,,,932,2022-05-10,
SC,121A,-107.785103,32.532398,New Mexico Tech Seismic Network (),,,Cookes Peak,1652,2019-03-05,
SC,LEM,-106.974167,34.165501,New Mexico Tech Seismic Network (),,,Lemita,1698,1998-12-31,
SC,SBY,-107.180664,33.975166,New Mexico Tech Seismic Network (),,,South Baldy,3230,1998-12-31,
SC,SMC,-107.019302,33.778667,New Mexico Tech Seismic Network (),,,San Marcial,1560,1998-12-31,
4T,EL05,-95.286764,29.647182,University of Texas,TexNet,,,12,2022-04-26,
4O,MBBB2,-102.073906,32.053452,,,,,850,2022-03-09,
GM,NMP23,-103.802893,32.167112,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S3,1049.6,2021-06-02,
GM,NMP25,-103.860072,32.33787,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S5,983,2020-08-26,
GM,NMP34,-103.68967,32.26384,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S4,1121.7,2020-08-25,
GM,NMP35,-103.724675,32.352297,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S5,1071,2021-06-01,
GM,NMP41,-103.596471,32.00509,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S1,959.9,2020-08-28,
GM,NMP45,-103.58198,32.33145,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S5,1127.4,2021-06-01,
GM,NMP51,-103.421678,32.00448,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S1,975,2021-06-02,
GM,NMP53,-103.431176,32.17626,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S3,1037.3,2020-08-27,
